County Formatted,County,State Formatted,State,Population
Emanuel,EMANUEL,Georgia,GEORGIA,22646
Evans,EVANS,Georgia,GEORGIA,10654
Fannin,FANNIN,Georgia,GEORGIA,26188
Fayette,FAYETTE,Georgia,GEORGIA,114421
Floyd,FLOYD,Georgia,GEORGIA,98498
Forsyth,FORSYTH,Georgia,GEORGIA,244252
Franklin,FRANKLIN,Georgia,GEORGIA,23349
Fulton,FULTON,Georgia,GEORGIA,1063937
Gilmer,GILMER,Georgia,GEORGIA,31369
Glascock,GLASCOCK,Georgia,GEORGIA,2971
Glynn,GLYNN,Georgia,GEORGIA,85292
Gordon,GORDON,Georgia,GEORGIA,57963
Grady,GRADY,Georgia,GEORGIA,24633
Greene,GREENE,Georgia,GEORGIA,18324
Gwinnett,GWINNETT,Georgia,GEORGIA,936250
Habersham,HABERSHAM,Georgia,GEORGIA,45328
Hall,HALL,Georgia,GEORGIA,204441
Hancock,HANCOCK,Georgia,GEORGIA,8457
Haralson,HARALSON,Georgia,GEORGIA,29792
Harris,HARRIS,Georgia,GEORGIA,35236
Hart,HART,Georgia,GEORGIA,26205
Heard,HEARD,Georgia,GEORGIA,11923
Henry,HENRY,Georgia,GEORGIA,234561
Houston,HOUSTON,Georgia,GEORGIA,157863
Irwin,IRWIN,Georgia,GEORGIA,9416
Jackson,JACKSON,Georgia,GEORGIA,72977
Jasper,JASPER,Georgia,GEORGIA,14219
Jeff Davis,JEFFDAVIS,Georgia,GEORGIA,15115
Jefferson,JEFFERSON,Georgia,GEORGIA,15362
Jenkins,JENKINS,Georgia,GEORGIA,8676
Johnson,JOHNSON,Georgia,GEORGIA,9643
Jones,JONES,Georgia,GEORGIA,28735
Lamar,LAMAR,Georgia,GEORGIA,19077
Lanier,LANIER,Georgia,GEORGIA,10423
Laurens,LAURENS,Georgia,GEORGIA,47546
Lee,LEE,Georgia,GEORGIA,29992
Liberty,LIBERTY,Georgia,GEORGIA,61435
Lincoln,LINCOLN,Georgia,GEORGIA,7921
Long,LONG,Georgia,GEORGIA,19559
Lowndes,LOWNDES,Georgia,GEORGIA,117406
Lumpkin,LUMPKIN,Georgia,GEORGIA,33610
McDuffie,MCDUFFIE,Georgia,GEORGIA,21312
McIntosh,MCINTOSH,Georgia,GEORGIA,14378
Macon,MACON,Georgia,GEORGIA,12947
Madison,MADISON,Georgia,GEORGIA,29880
Marion,MARION,Georgia,GEORGIA,8359
Meriwether,MERIWETHER,Georgia,GEORGIA,21167
Miller,MILLER,Georgia,GEORGIA,5718
Mitchell,MITCHELL,Georgia,GEORGIA,21863
Monroe,MONROE,Georgia,GEORGIA,27578
Montgomery,MONTGOMERY,Georgia,GEORGIA,9172
Morgan,MORGAN,Georgia,GEORGIA,19276
Murray,MURRAY,Georgia,GEORGIA,40096
Muscogee,MUSCOGEE,Georgia,GEORGIA,195769
Newton,NEWTON,Georgia,GEORGIA,111744
Oconee,OCONEE,Georgia,GEORGIA,40280
Oglethorpe,OGLETHORPE,Georgia,GEORGIA,15259
Paulding,PAULDING,Georgia,GEORGIA,168667
Peach,PEACH,Georgia,GEORGIA,27546
Pickens,PICKENS,Georgia,GEORGIA,32591
Pierce,PIERCE,Georgia,GEORGIA,19465
Pike,PIKE,Georgia,GEORGIA,18962
Polk,POLK,Georgia,GEORGIA,42613
Pulaski,PULASKI,Georgia,GEORGIA,11137
Putnam,PUTNAM,Georgia,GEORGIA,22119
